"Proceed to Checkout","Start Secure Checkout"
"Coupon code ""%s"" is not valid.","Woah hey, check the code, it doesn't match my records. You sure ""%s"" is what you meant to type?"
"You have logged out and will be redirected to our homepage in 5 seconds.","Hold on friend, we're taking a trip to the home page in 5 seconds."
"You have placed no orders.","I can't find any orders. And that ain't cool."
"You have no items in your shopping cart.","An empty cart makes Froghopper angry."
"Click <a href=""%s"">here</a> to continue shopping.","Click <a href=""%s"">here</a> to get back on track."
"Your search returns no results.","I got nothing. The way I see it you have two options: Try another term, or hit one of the Froghopper team, <a href=""/customer-support"">right here</a>. Let's make this right. Together."
"Hello, %s!","Hey, %s!"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your my account dashboard over there, you can see what you've bought, what you want to buy, update your info and check in on what's what. Welcome to the army!"
"You have no items in your wishlist.","You'll never get it if you don't wish for it. Shoot for the stars, baby."
"Thank you for your subscription.","You're on our list. And you know what happens to people on our list? It's better than your dreams. Well, it's better than my dreams at least."
"No results were found for %s","I have some really, really awful news. Your search for ""%s"" turned up a whole lotta' nothin. <a href='/customer-support/' target='_blank'>Hit us here</a> -- let's beat this thing together."
"Coupon code ""%s"" was applied.","Nice! Coupon Code ""%s"" is working for you."
